#,Name,Team,ESPN,Y!,$,G,GS,QS,TBF,IP,W,L,SV,HLD,H,ER,K,BB,HBP,HR,ERA,SIERA,WHIP,GB%,LD%,FB%,BABIP,Own%,RazzID
292,Jimmy Herget,COL,RP,RP,-9.7,36,4,2,211,50.8,2,3,1,4,55,24,41,17,3,8,4.26,5.19,1.41,36,20,44,0.300,0,623474
293,Jovani Moran,BOS,RP,RP,-9.7,45,0,0,191,44.8,2,2,0,2,38,19,46,22,2,5,3.73,4.04,1.34,41,20,39,0.287,0,663558
294,Daniel Lynch IV,KC,RP,RP,-9.7,51,0,0,217,51.2,3,3,0,8,49,22,43,17,2,6,3.88,4.16,1.28,42,20,38,0.287,0,663738
295,Jose Urquidy,PIT,RP,RP,-9.7,45,0,0,224,53.4,3,3,0,8,52,25,44,15,2,7,4.20,4.20,1.25,36,20,45,0.287,0,664353
296,Luis Medina,ATH,RP,RP,-9.7,35,3,1,236,54.6,3,3,0,7,50,25,52,25,3,7,4.18,4.30,1.37,41,20,40,0.283,0,665622
297,Jonathan Bowlan,PHI,RP,RP,-9.7,45,0,0,190,44.8,2,2,0,2,41,19,42,15,2,5,3.76,3.93,1.27,44,20,37,0.288,0,680742
298,Sam Bachman,LAA,RP,RP,-9.7,45,0,0,195,44.5,2,2,1,10,42,21,41,22,2,5,4.19,4.39,1.45,47,20,34,0.294,3,696147
299,Corbin Martin,CHC,RP,RP,-9.8,32,0,0,142,32.0,2,2,2,6,31,17,28,18,1,4,4.66,4.76,1.51,42,20,38,0.291,0,656686
300,Dean Kremer,BAL,SP,SP,-9.8,16,16,8,362,84.8,5,5,0,0,82,40,74,28,3,13,4.27,4.23,1.29,38,20,42,0.284,3,665152
301,Matt Festa,CLE,RP,RP,-9.8,51,0,0,218,50.8,2,3,0,11,47,24,49,20,3,7,4.19,4.27,1.31,38,20,42,0.282,0,670036
302,Braydon Fisher,TOR,RP,RP,-9.8,45,0,0,195,44.8,2,2,0,12,39,20,50,21,2,6,3.98,4.01,1.34,39,21,40,0.284,0,680755
303,Adbert Alzolay,NYM,RP,RP,-9.9,43,0,0,183,42.8,2,2,0,4,39,19,42,15,2,5,4.02,3.83,1.26,40,20,40,0.279,0,640470
304,Yohan Ramirez,PIT,RP,RP,-9.9,45,0,0,192,44.5,2,2,0,6,39,19,44,20,4,4,3.81,3.93,1.33,46,20,34,0.297,0,670990
305,Brant Hurter,DET,RP,RP,-9.9,45,0,0,189,44.5,2,2,0,4,42,18,39,14,3,4,3.65,3.77,1.28,49,21,30,0.297,0,676428
306,Justin Slaten,BOS,RP,RP,-9.9,41,0,0,173,41.1,2,2,0,8,36,17,40,15,2,5,3.71,3.82,1.25,41,20,40,0.285,0,686580
307,Mason Fluharty,TOR,RP,RP,-9.9,45,0,0,194,44.8,2,2,0,14,40,19,48,21,2,5,3.86,4.16,1.36,40,21,39,0.289,0,689254
308,Sam Hentges,SF,RP,RP,-10.0,36,0,0,149,35.6,2,2,0,4,31,14,36,13,1,3,3.41,3.36,1.24,48,20,33,0.294,0,656529
309,Bryan Hudson,CHW,RP,RP,-10.0,45,0,0,190,44.8,2,2,0,7,40,18,45,20,2,5,3.66,3.99,1.35,46,20,34,0.296,0,663542
310,Brady Basso,ATH,RP,RP,-10.0,45,0,0,190,44.8,2,2,0,13,43,19,40,16,2,5,3.81,4.10,1.30,43,20,37,0.291,0,669620
311,Connor Phillips,CIN,RP,RP,-10.0,51,0,0,225,51.2,3,3,0,5,43,24,55,29,3,7,4.28,4.47,1.41,37,20,44,0.270,0,683175
312,Connor Brogdon,CLE,RP,RP,-10.1,45,0,0,191,44.5,2,2,0,7,40,21,44,18,2,6,4.22,4.22,1.30,36,20,45,0.275,0,641401
313,Jalen Beeks,TEX,RP,RP,-10.1,45,0,0,192,44.8,2,2,0,5,41,19,43,18,2,5,3.83,3.86,1.31,43,20,37,0.282,0,656222
314,Tim Hill,NYY,RP,RP,-10.1,51,0,0,222,51.2,3,2,1,15,55,23,30,17,2,5,4.01,4.18,1.41,57,21,23,0.296,0,657612
315,Jack Dreyer,LAD,RP,RP,-10.1,45,0,0,172,40.3,2,2,0,5,36,17,41,17,1,5,3.85,4.09,1.31,38,21,41,0.283,0,676263
316,Colin Selby,BAL,RP,RP,-10.1,40,0,0,170,39.8,2,2,0,4,35,16,41,18,2,4,3.72,3.81,1.33,46,20,34,0.293,0,681882
317,Will Klein,LAD,RP,RP,-10.1,45,0,0,195,44.8,2,2,0,5,39,19,48,25,2,5,3.91,4.14,1.42,44,20,37,0.293,0,694361
318,AJ Blubaugh,HOU,RP,RP,-10.1,46,1,1,236,55.5,3,3,0,7,53,27,52,24,2,8,4.34,4.64,1.39,38,21,41,0.281,0,805123
319,Osvaldo Bido,CHW,RP,RP,-10.2,33,1,1,233,54.6,3,3,0,14,52,27,49,22,3,8,4.43,4.49,1.34,34,20,47,0.272,0,674370
320,Grant Anderson,MIL,RP,RP,-10.2,45,0,0,195,45.2,2,2,0,13,41,21,45,19,2,6,4.07,4.17,1.34,42,20,38,0.285,0,681982
321,David Morgan,SD,RP,RP,-10.2,52,0,0,224,51.6,3,3,0,8,49,24,51,25,3,6,4.11,4.29,1.43,45,21,34,0.303,0,688158
322,Wandy Peralta,SD,RP,RP,-10.3,52,0,0,201,46.4,2,2,0,5,44,19,42,20,2,4,3.76,3.97,1.39,50,20,30,0.298,0,14295
323,Hoby Milner,CHC,RP,RP,-10.3,51,0,0,221,51.2,3,3,0,9,52,23,41,18,2,6,3.96,4.14,1.36,47,21,32,0.298,0,571948
324,Taylor Clarke,ARI,RP,RP,-10.3,45,0,0,192,45.2,2,2,0,14,44,20,37,13,2,5,4.07,3.93,1.25,41,20,40,0.282,0,664199
325,Brenan Hanifee,DET,RP,RP,-10.3,51,0,0,217,50.8,3,3,0,2,52,22,38,16,2,5,3.90,3.83,1.32,51,20,29,0.299,0,669724
326,Emerson Hancock,SEA,SP,SP,-10.3,28,15,7,402,92.7,5,5,0,1,93,45,80,30,5,13,4.40,4.27,1.33,43,20,37,0.285,100,676106
327,Edgardo Henriquez,LAD,RP,RP,-10.3,45,0,0,193,44.8,2,2,0,9,41,20,46,22,2,6,4.01,4.30,1.40,43,21,35,0.296,0,683618
328,Drey Jameson,ARI,RP,RP,-10.3,41,0,0,173,41.0,2,2,0,4,38,18,39,17,2,4,3.87,3.89,1.33,44,20,36,0.297,0,686753
329,Craig Kimbrel,NYM,RP,RP,-10.4,38,0,0,149,34.6,2,2,0,5,28,16,40,18,2,4,4.03,3.91,1.32,35,20,45,0.274,0,6655
330,Joe Mantiply,TOR,RP,RP,-10.4,45,0,0,170,40.3,2,2,0,1,40,17,36,12,1,4,3.68,3.82,1.30,47,20,33,0.303,0,14857
331,Anthony Banda,MIN,RP,RP,-10.4,45,0,0,192,44.5,2,2,0,6,40,20,43,21,2,5,3.99,4.09,1.36,41,20,39,0.286,0,607455
332,Ryan Borucki,SF,RP,RP,-10.4,45,0,0,173,40.3,2,2,0,5,37,17,39,17,2,4,3.81,3.91,1.32,45,20,35,0.295,0,621366
333,Aaron Civale,ATH,SP,SP,-10.4,19,19,8,433,99.8,6,6,0,0,102,51,85,33,5,16,4.64,4.70,1.35,37,20,43,0.286,2,650644
334,Alex Lange,KC,RP,RP,-10.4,45,0,0,175,40.3,2,2,0,9,34,17,44,23,2,4,3.81,4.14,1.41,45,20,35,0.300,0,656638
335,Brusdar Graterol,LAD,RP,RP,-10.4,36,0,0,151,35.9,2,2,0,4,34,14,33,12,1,3,3.52,3.53,1.27,52,19,29,0.294,0,660813
