#,Name,Team,ESPN,Y!,$,G,GS,QS,TBF,IP,W,L,SV,HLD,H,ER,K,BB,HBP,HR,ERA,SIERA,WHIP,GB%,LD%,FB%,BABIP,Own%,RazzID
413,Payton Tolle,BOS,SP,SP,-11.3,23,10,5,276,66.4,4,4,0,1,59,27,69,25,2,9,3.71,4.15,1.26,38,21,41,0.291,100,801139
414,John Klein,MIN,RP,RP,-11.3,32,0,0,136,31.8,2,2,0,5,31,15,29,11,2,4,4.11,4.23,1.31,40,21,39,0.293,0,804619
415,Jose Leclerc,SD,RP,RP,-11.4,26,0,0,109,25.5,1,1,0,3,21,12,28,12,1,3,4.06,3.99,1.30,33,20,47,0.268,0,14524
416,Jake Woodford,MIL,RP,RP,-11.4,32,0,0,153,35.5,2,2,0,6,37,17,28,11,2,5,4.20,4.21,1.33,44,20,36,0.294,0,663765
417,Justin Hagenman,NYM,RP,RP,-11.4,24,0,0,100,24.4,1,1,0,2,23,11,23,6,1,3,3.87,3.79,1.19,39,21,40,0.284,0,663795
418,Chris Murphy,CHW,RP,RP,-11.4,25,0,0,144,33.0,2,2,0,3,30,15,31,17,2,4,4.04,4.31,1.42,45,20,35,0.288,0,669684
419,Nick Sandlin,LAA,RP,RP,-11.4,45,0,0,176,40.1,2,2,0,6,38,20,38,20,2,6,4.48,4.79,1.44,40,20,40,0.286,0,680704
420,Hunter Barco,PIT,RP,RP,-11.4,24,2,1,144,33.4,2,2,0,4,32,15,30,15,2,3,3.97,4.37,1.40,45,21,34,0.304,0,682995
421,Craig Yoho,MIL,RP,RP,-11.4,32,0,0,140,32.3,2,2,0,3,30,15,32,16,2,4,4.03,4.33,1.42,46,21,33,0.301,0,684974
422,Zach Maxwell,CIN,RP,RP,-11.4,45,0,0,197,44.8,2,2,0,0,43,22,45,27,2,6,4.34,5.02,1.54,42,22,37,0.302,0,687209
423,Beau Brieske,DET,RP,RP,-11.4,34,0,0,145,33.9,2,2,0,7,31,16,31,15,1,4,4.31,4.25,1.35,37,20,43,0.276,0,689225
424,Yosver Zulueta,SEA,RP,RP,-11.4,31,0,0,134,30.6,2,2,0,3,28,13,31,15,2,3,3.85,3.98,1.43,53,21,26,0.303,0,691172
425,Philip Abner,ARI,RP,RP,-11.4,39,0,0,167,38.7,2,2,0,0,39,18,33,17,2,4,4.11,4.44,1.43,44,21,35,0.310,0,691769
426,Spencer Bivens,SF,RP,RP,-11.4,47,0,0,203,46.8,2,2,0,9,50,22,35,16,2,5,4.26,4.38,1.40,48,21,31,0.307,0,702352
427,Carl Edwards Jr.,NYM,RP,RP,-11.5,29,0,0,127,29.4,2,1,0,3,27,13,28,13,1,3,3.98,3.98,1.37,46,20,34,0.291,0,605218
428,Bailey Falter,KC,RP,RP,-11.5,23,2,1,152,35.8,2,2,0,2,36,17,29,12,1,5,4.36,4.63,1.33,36,20,44,0.287,0,663559
429,Ryan Watson,BOS,RP,RP,-11.5,45,0,0,173,40.3,2,2,0,7,41,19,32,16,2,5,4.22,4.79,1.43,44,21,34,0.309,0,670245
430,Trevor Richards,PHI,RP,RP,-11.5,29,0,0,127,29.4,1,2,0,3,26,14,29,14,1,4,4.34,4.46,1.35,33,20,47,0.273,0,670950
431,Ethan Roberts,CHC,RP,RP,-11.5,31,0,0,132,30.5,2,2,0,3,28,15,29,13,2,4,4.29,4.24,1.34,38,20,42,0.280,0,681799
432,Mitch Spence,KC,RP,RP,-11.5,32,0,0,136,32.0,2,2,0,0,32,14,26,10,1,4,4.01,4.22,1.32,45,20,35,0.299,0,687765
433,Peyton Pallette,CLE,RP,RP,-11.5,38,0,0,167,38.1,2,2,0,6,36,19,36,19,2,5,4.46,4.72,1.44,39,21,40,0.293,0,688883
434,Andrew Chafin,CIN,RP,RP,-11.6,32,0,0,124,28.9,1,1,0,3,26,13,30,15,1,3,3.89,4.37,1.44,42,21,37,0.296,0,12988
435,Chris Devenski,PIT,RP,RP,-11.6,29,0,0,125,29.2,1,2,0,3,28,14,25,10,1,4,4.29,4.21,1.30,39,20,41,0.288,0,606965
436,Cal Quantrill,TEX,RP,RP,-11.6,22,3,1,139,32.5,2,2,0,0,33,16,27,11,2,5,4.45,4.37,1.33,39,20,42,0.287,0,615698
437,Justin Bruihl,STL,RP,RP,-11.6,45,0,0,177,40.3,2,2,0,4,40,19,32,18,3,4,4.17,4.49,1.45,48,21,31,0.304,0,677865
438,Jose Franco,CIN,RP,RP,-11.6,32,0,0,138,32.0,2,2,0,3,31,15,30,14,1,4,4.09,4.70,1.42,43,21,36,0.303,0,683742
439,Ryan Gusto,MIA,RP,RP,-11.6,23,3,1,140,33.0,2,2,0,9,33,16,28,11,1,4,4.28,4.51,1.34,40,21,39,0.298,0,687473
440,Mason Black,KC,RP,RP,-11.6,28,3,1,202,46.3,2,3,0,6,47,24,37,19,2,7,4.56,4.99,1.44,40,20,40,0.296,0,696131
441,Patrick Corbin,TOR,SP,SP,-11.7,28,15,7,399,92.9,5,5,0,1,96,45,78,30,3,13,4.38,4.40,1.36,44,20,36,0.299,1,9323
442,Steven Wilson,TB,RP,RP,-11.7,34,0,0,147,33.6,2,2,0,3,30,18,33,16,2,5,4.73,4.67,1.38,29,20,51,0.262,0,621051
443,James McArthur,KC,RP,RP,-11.7,25,0,0,106,25.4,1,1,0,3,24,11,23,9,1,3,3.76,4.01,1.31,47,20,33,0.299,0,663704
444,Andre Pallante,STL,SP,SP,-11.7,22,22,10,494,113.4,7,6,0,0,115,54,82,48,4,10,4.30,4.15,1.43,55,20,25,0.301,7,669467
445,Hayden Wesneski,HOU,RP,RP,-11.7,15,1,0,87,20.7,1,1,0,1,19,9,21,7,1,3,3.90,3.83,1.23,40,20,41,0.280,0,669713
446,Cameron Foster,BAL,RP,RP,-11.7,32,0,0,138,32.0,2,2,0,6,32,15,28,13,1,4,4.25,4.64,1.42,41,21,38,0.303,0,671382
447,Cionel Perez,WSH,RP,RP,-11.7,45,0,0,174,40.1,2,2,0,9,38,18,34,22,2,4,4.07,4.42,1.51,50,20,30,0.302,0,672335
448,Carlos Vargas,SEA,RP,RP,-11.7,36,0,0,138,32.0,2,2,0,7,31,15,27,13,2,3,4.12,4.04,1.37,50,19,31,0.290,0,672841
449,Andrew Walters,CLE,RP,RP,-11.7,25,0,0,98,22.7,1,1,0,3,19,10,26,12,1,3,4.02,4.12,1.35,36,21,43,0.285,0,689958
450,Bailey Horn,DET,RP,RP,-11.7,35,0,0,154,35.3,2,2,0,4,34,17,31,17,1,4,4.23,4.55,1.45,42,21,36,0.296,0,690544
451,Hayden Harris,ATL,RP,RP,-11.7,29,0,0,115,26.4,1,1,0,3,24,12,28,14,1,3,4.00,4.32,1.42,41,21,37,0.300,0,802686
452,Rafael Montero,NYY,RP,RP,-11.8,32,0,0,127,28.9,1,1,0,4,26,14,28,15,1,4,4.28,4.32,1.43,43,20,37,0.281,0,12760
453,Drew Smith,MIN,RP,RP,-11.8,32,0,0,140,32.1,2,2,0,3,29,16,30,15,1,5,4.53,4.51,1.37,32,20,48,0.273,0,622098
454,Anthony Kay,CHW,SP,SP,-11.8,28,15,7,476,110.5,6,7,0,1,111,52,85,44,5,13,4.23,4.34,1.40,49,20,31,0.296,1,641743
455,Jason Foley,SF,RP,RP,-11.8,25,0,0,94,22.4,1,1,0,2,21,9,20,7,1,2,3.70,3.48,1.26,49,19,32,0.295,0,671345
456,Kodai Senga,NYM,SP,SP,-11.8,14,14,7,326,75.3,5,4,0,0,68,35,76,36,3,9,4.17,4.02,1.37,43,20,38,0.285,19,673540
457,Joey Estes,ATH,RP,RP,-11.8,23,0,0,130,30.4,2,2,0,2,30,15,24,8,2,5,4.56,4.70,1.26,31,20,49,0.270,0,683155
458,Chris Roycroft,STL,RP,RP,-11.8,41,0,0,180,41.0,2,2,0,8,42,19,32,20,2,4,4.20,4.43,1.49,51,20,29,0.308,0,688297
459,Matt Pushard,STL,RP,RP,-11.8,36,0,0,157,36.1,2,2,0,4,37,18,29,15,2,5,4.50,4.71,1.43,41,21,38,0.298,0,690155
460,Travis Adams,MIN,RP,RP,-11.8,32,1,0,154,35.6,2,2,0,4,37,17,28,13,2,4,4.35,4.54,1.41,44,21,35,0.304,0,701519
461,Shaun Anderson,LAA,RP,RP,-11.9,32,0,0,178,41.3,2,2,0,4,45,21,28,12,2,6,4.55,4.79,1.38,41,20,39,0.293,0,641312
462,Trent Thornton,CHC,RP,RP,-11.9,27,0,0,107,26.8,1,1,0,5,26,13,24,10,1,4,4.33,4.34,1.34,40,20,41,0.285,0,663423
463,Chase Shugart,PHI,RP,RP,-11.9,32,0,0,138,32.0,2,2,0,4,32,15,27,13,1,4,4.34,4.56,1.38,42,21,37,0.290,0,663767
464,Michel Otanez,TEX,RP,RP,-11.9,26,0,0,101,23.0,1,1,0,4,19,10,27,14,1,2,3.93,4.13,1.43,42,20,39,0.285,0,671305
465,Kyle Backhus,PHI,RP,RP,-11.9,25,0,0,107,24.9,1,1,0,3,24,11,23,10,1,3,3.93,4.32,1.36,45,21,34,0.299,0,679775
466,Josh Simpson,SEA,RP,RP,-11.9,32,0,0,125,28.6,1,1,0,3,27,13,29,15,1,3,4.14,4.43,1.47,45,21,34,0.298,0,681006
467,Dylan Smith,SF,RP,RP,-11.9,31,0,0,133,30.6,1,2,0,3,30,14,27,14,1,3,4.17,4.30,1.42,45,21,33,0.301,0,681916
468,Brandan Bidois,PIT,RP,RP,-11.9,35,0,0,155,35.1,2,2,0,4,33,18,32,19,2,4,4.54,4.77,1.48,39,21,40,0.297,0,684049
469,Christian Roa,MIN,RP,RP,-11.9,32,0,0,183,41.3,2,2,0,1,40,21,37,23,2,5,4.57,4.86,1.52,41,21,37,0.301,0,685005
470,Eduardo Rivera,BOS,RP,RP,-11.9,22,2,1,124,29.6,2,2,0,1,30,12,27,14,1,3,3.78,4.69,1.47,47,21,32,0.310,0,700842
471,Genesis Cabrera,PHI,RP,RP,-12.0,26,0,0,111,25.5,1,1,0,3,24,12,24,12,1,3,4.25,4.50,1.39,39,20,41,0.282,0,650893
472,Yerry De los Santos,NYY,RP,RP,-12.0,29,0,0,127,29.3,2,1,0,4,29,13,24,12,1,3,3.98,4.25,1.41,51,20,29,0.299,0,660787
473,Cole Wilcox,SEA,RP,RP,-12.0,32,0,0,138,31.8,2,2,0,5,33,15,26,13,2,3,4.22,4.41,1.44,50,21,29,0.308,0,677961
474,Luis Mey,CIN,RP,RP,-12.0,38,0,0,171,38.4,2,2,0,0,38,18,36,23,2,4,4.32,4.95,1.58,49,22,30,0.309,0,682825
475,David Sandlin,CHW,RP,RP,-12.0,13,0,0,50,12.6,3,3,0,0,14,6,11,4,0,2,4.12,4.88,1.45,40,21,39,0.286,0,689818
476,Carson Seymour,SF,RP,RP,-12.0,18,0,0,96,22.9,1,1,0,2,23,10,20,8,1,2,3.78,3.89,1.32,51,21,28,0.306,0,693313
477,Trevor Martin,TB,RP,RP,-12.0,30,0,0,129,29.7,1,2,0,6,30,15,25,12,1,4,4.45,4.65,1.40,41,21,38,0.292,0,694680
478,Ian Hamilton,ATL,RP,RP,-12.1,18,0,0,77,18.0,1,1,0,2,16,8,19,9,1,2,3.85,3.91,1.37,45,20,36,0.294,0,641656
479,Enmanuel De Jesus,DET,RP,RP,-12.1,32,0,0,138,31.8,2,2,0,1,31,15,27,15,2,4,4.27,4.60,1.43,41,20,39,0.294,0,646241
480,Connor Seabold,DET,RP,RP,-12.1,26,0,0,111,25.6,1,1,0,3,25,13,22,9,2,4,4.48,4.47,1.31,35,20,45,0.278,0,657756
481,Easton McGee,MIL,RP,RP,-12.1,26,0,0,111,25.8,1,1,0,5,27,12,21,9,1,3,4.11,4.28,1.38,48,20,32,0.299,0,668834
482,Prelander Berroa,CHW,RP,RP,-12.1,25,0,0,111,25.4,1,1,0,3,22,12,26,15,1,3,4.29,4.40,1.44,38,20,42,0.277,0,672860
483,Max Lazar,PHI,RP,RP,-12.1,31,0,0,130,30.5,2,2,0,3,32,15,24,11,1,4,4.38,4.60,1.40,44,21,35,0.295,0,676661
484,Franco Aleman,CLE,RP,RP,-12.1,18,0,0,76,17.6,1,1,0,2,16,8,19,8,1,2,3.90,4.11,1.36,42,21,37,0.297,0,680916
485,Jared Jones,PIT,SP,SP,-12.1,12,12,6,253,60.2,3,3,0,0,51,25,63,22,3,7,3.78,3.70,1.21,38,19,43,0.280,7,683003
486,Orlando Ribalta,WSH,RP,RP,-12.1,38,0,0,151,34.3,2,2,0,10,33,18,31,18,1,5,4.62,4.95,1.48,37,21,41,0.290,0,687377
487,Alex Carrillo,NYM,RP,RP,-12.1,20,0,0,89,20.4,1,1,0,2,18,9,22,11,1,2,4.14,4.20,1.42,41,21,38,0.290,0,692024
488,Andre Granillo,WSH,RP,RP,-12.1,38,0,0,169,38.1,2,2,0,7,37,20,33,20,1,6,4.79,5.09,1.50,36,21,43,0.289,0,701552
489,Jake Irvin,WSH,SP,SP,-12.2,19,19,9,444,103.1,5,7,0,0,103,52,83,36,4,15,4.56,4.52,1.35,42,20,39,0.289,10,663623
490,Reiver Sanmartin,SF,RP,RP,-12.2,29,0,0,124,28.5,1,1,0,3,30,13,21,11,1,3,4.04,4.23,1.43,51,21,28,0.309,0,665665
491,Robinson Ortiz,SEA,RP,RP,-12.2,29,0,0,129,29.3,1,2,0,3,29,14,27,16,2,3,4.28,4.58,1.52,47,22,32,0.300,0,673662
492,Eduarniel Nunez,ATH,RP,RP,-12.2,36,0,0,160,35.7,2,2,0,4,35,18,33,22,2,4,4.53,5.09,1.59,44,22,34,0.305,0,674384
493,Hunter Stratton,ATL,RP,RP,-12.2,19,0,0,82,19.1,1,1,0,4,18,9,18,8,1,2,4.13,4.18,1.34,41,20,40,0.291,0,676702
494,Joey Gerber,NYM,RP,RP,-12.2,20,0,0,79,18.4,1,1,0,2,17,9,18,7,1,3,4.29,4.12,1.32,36,20,43,0.278,0,680702
495,Jayden Murray,HOU,RP,RP,-12.2,32,0,0,139,31.8,2,2,0,4,32,16,28,15,2,4,4.54,4.89,1.48,41,21,37,0.300,0,681151
496,Luis Curvelo,TEX,RP,RP,-12.2,31,0,0,135,30.9,1,2,0,3,31,16,27,14,2,5,4.61,4.84,1.45,39,21,40,0.292,0,681168
497,Gavin Collyer,TEX,RP,RP,-12.2,32,0,0,143,32.0,2,2,0,5,30,16,31,19,2,4,4.58,4.90,1.53,42,22,37,0.296,0,686560
498,William Kempner,MIA,RP,RP,-12.2,23,0,0,103,23.4,1,1,0,2,21,11,24,13,1,3,4.20,4.49,1.45,42,21,37,0.299,0,687531
499,Zak Kent,WSH,RP,RP,-12.2,23,0,0,122,28.1,1,2,0,2,27,13,25,14,1,3,4.27,4.51,1.46,45,21,34,0.301,0,687849
500,Julian Aguiar,CIN,RP,RP,-12.2,17,1,0,107,25.1,1,1,0,2,26,12,20,9,1,4,4.28,4.77,1.39,43,21,36,0.301,0,687924
501,Nick Davila,SEA,RP,RP,-12.2,29,0,0,127,29.2,1,2,0,6,30,14,23,10,1,4,4.34,4.39,1.39,47,21,32,0.297,0,689546
502,Cristian Mena,ARI,RP,RP,-12.2,15,1,0,69,16.8,1,1,0,1,16,7,16,6,1,2,3.72,3.96,1.33,45,21,34,0.305,0,691441
503,Chase Petty,CIN,RP,RP,-12.2,23,2,1,139,32.0,2,2,0,2,34,16,26,14,1,4,4.36,4.97,1.49,46,21,33,0.310,0,695534
504,Yilber Diaz,ARI,RP,RP,-12.2,26,0,0,112,25.5,1,1,0,6,24,12,26,14,1,3,4.28,4.56,1.49,41,21,37,0.307,0,700270
505,Paul Gervase,LAD,RP,RP,-12.2,23,0,0,92,21.1,1,1,0,2,19,10,22,11,1,3,4.25,4.48,1.42,39,21,39,0.289,0,801434
506,Derek Law,ARI,RP,RP,-12.3,21,0,0,92,21.4,1,1,0,2,21,10,19,8,1,2,4.06,4.06,1.36,45,20,36,0.300,0,13133
507,Trevor Williams,WSH,RP,RP,-12.3,16,1,0,83,19.8,1,1,0,1,20,9,17,5,1,3,4.22,4.22,1.28,39,21,41,0.292,0,16977
508,Tayler Saucedo,LAA,RP,RP,-12.3,32,0,0,125,28.6,1,2,0,3,28,13,25,14,2,3,4.11,4.58,1.49,49,21,30,0.306,0,642048
509,Jake Cousins,LAD,RP,RP,-12.3,15,0,0,65,15.3,1,1,0,2,13,7,17,8,1,2,3.89,4.00,1.37,43,20,37,0.288,0,664776
510,Bobby Miller,LAD,RP,RP,-12.3,14,0,0,67,15.8,1,1,0,1,14,7,16,7,1,2,3.94,4.01,1.34,44,19,37,0.286,0,676272
511,Jack Anderson,BOS,RP,RP,-12.3,22,2,1,123,29.6,1,2,0,1,33,14,22,9,1,4,4.35,5.02,1.43,42,21,37,0.302,0,681252
512,Evan Reifert,TB,RP,RP,-12.3,16,0,0,50,16.1,1,1,0,2,14,7,18,9,1,2,3.99,4.20,1.43,43,22,35,0.294,0,682126
513,Peyton Gray,TEX,RP,RP,-12.3,19,0,0,82,19.2,1,1,0,4,18,9,18,8,1,2,4.08,4.22,1.35,42,21,37,0.294,0,682608
514,Victor Mederos,ATL,RP,RP,-12.3,23,0,0,132,30.4,2,2,0,2,31,15,24,13,2,4,4.51,4.66,1.44,44,20,36,0.296,0,682989
515,Angel Chivilli,NYY,RP,RP,-12.3,21,0,0,89,20.6,1,1,0,2,20,10,19,9,1,3,4.18,4.32,1.37,45,20,36,0.287,0,683409
516,Chase Lee,TOR,RP,RP,-12.3,19,0,0,82,19.2,1,1,0,3,18,9,18,7,1,2,4.09,4.15,1.33,44,21,35,0.292,0,695445
517,Joe Rock,TB,RP,RP,-12.3,14,2,1,100,24.0,1,1,0,1,26,11,20,9,1,3,4.09,4.53,1.43,46,21,33,0.300,0,697812
518,John Brebbia,MIN,RP,RP,-12.4,16,0,0,58,14.5,1,1,0,2,13,7,15,6,1,2,4.15,4.06,1.28,33,20,47,0.274,0,605154
519,Zach Pop,PHI,RP,RP,-12.4,26,0,0,101,23.2,1,1,0,3,23,11,18,9,1,3,4.13,4.26,1.40,51,20,29,0.298,0,647315
520,Manuel Rodriguez,TB,RP,RP,-12.4,15,0,0,64,15.1,1,1,0,3,14,6,15,6,1,1,3.74,3.72,1.30,49,20,31,0.292,0,655889
521,Alan Rangel,PHI,RP,RP,-12.4,15,2,1,95,22.4,1,1,0,1,23,11,18,7,1,4,4.47,4.80,1.35,37,21,42,0.288,0,660604
522,Kervin Castro,NYY,RP,RP,-12.4,26,0,0,112,25.5,1,1,0,3,25,13,22,12,1,3,4.40,4.57,1.44,44,20,36,0.289,0,665645
523,Jake Eder,LAD,RP,RP,-12.4,26,0,0,110,25.6,1,1,0,5,26,13,21,10,1,4,4.46,4.74,1.41,40,21,39,0.290,0,671109
524,Sammy Peralta,COL,RP,RP,-12.4,19,0,0,107,24.8,1,1,0,2,27,11,18,9,1,3,4.07,4.91,1.44,46,21,34,0.319,0,671111
525,Juan Burgos,ARI,RP,RP,-12.4,35,0,0,138,31.6,2,2,0,8,33,16,25,14,2,4,4.46,4.78,1.49,45,21,34,0.314,0,686228
526,Alek Jacob,SD,RP,RP,-12.4,26,0,0,137,31.0,1,2,0,5,31,16,26,15,2,4,4.74,4.91,1.48,40,21,39,0.293,0,689690
527,Carter Baumler,TEX,RP,RP,-12.4,31,0,0,136,30.9,1,2,0,3,31,16,27,16,1,4,4.63,4.90,1.51,42,21,37,0.297,0,691945
528,Troy Taylor,SEA,RP,RP,-12.4,29,0,0,116,26.4,1,1,0,3,26,13,24,13,1,3,4.43,4.56,1.47,46,21,33,0.299,0,700187
529,Tyler Samaniego,BOS,RP,RP,-12.4,32,0,0,141,32.0,2,2,0,4,33,15,25,15,2,4,4.28,4.92,1.50,46,21,33,0.310,0,701719
530,Brycen Mautz,STL,RP,RP,-12.4,18,0,0,75,17.6,1,1,0,2,17,8,15,7,1,2,3.94,4.28,1.34,43,21,36,0.297,0,802408
531,Austin Peterson,CLE,RP,RP,-12.4,14,2,1,86,20.3,1,1,0,1,21,10,16,5,1,3,4.30,4.54,1.32,41,21,38,0.296,0,804926
532,Ryan Lambert,NYM,RP,RP,-12.4,16,0,0,71,16.1,1,1,0,2,14,8,18,9,1,2,4.30,4.42,1.44,37,21,41,0.285,0,822038
533,Tommy Kahnle,BOS,RP,RP,-12.5,27,0,0,105,24.1,1,1,0,6,23,11,21,12,1,3,4.24,4.64,1.48,46,20,34,0.300,0,11384
534,Mike Clevinger,PIT,RP,RP,-12.5,16,0,0,69,16.1,1,1,0,2,15,8,13,6,1,2,4.30,4.27,1.29,36,20,44,0.280,0,605182
535,Nick Anderson,ATH,RP,RP,-12.5,16,0,0,69,16.1,1,1,0,2,15,8,14,7,1,2,4.31,4.50,1.37,39,20,41,0.283,0,623433
536,J.P. France,HOU,RP,RP,-12.5,19,0,0,82,19.1,1,1,0,2,18,9,18,8,1,3,4.32,4.35,1.37,40,20,40,0.285,0,641585
537,Scott Blewett,STL,RP,RP,-12.5,20,0,0,89,20.4,1,1,0,2,20,10,16,8,1,2,4.35,4.45,1.38,43,21,36,0.295,0,656240
538,Gavin Hollowell,CHC,RP,RP,-12.5,18,0,0,77,17.6,1,1,0,2,16,8,18,9,1,2,4.30,4.43,1.43,40,20,40,0.290,0,668970
539,Sean Guenther,DET,RP,RP,-12.5,16,0,0,68,16.1,1,1,0,4,16,7,13,6,1,2,3.75,3.93,1.32,49,20,31,0.297,0,674944
540,Austin Love,STL,RP,RP,-12.5,27,0,0,117,26.8,1,1,0,3,26,14,23,13,1,3,4.55,4.75,1.47,41,21,38,0.298,0,676153
541,Nolan Hoffman,PHI,RP,RP,-12.5,19,0,0,84,19.2,1,1,0,1,19,9,17,9,1,2,4.10,4.55,1.46,48,21,31,0.307,0,676510
542,Anthony Molina,ATL,RP,RP,-12.5,23,1,0,113,26.4,1,1,0,0,29,13,19,8,1,4,4.54,4.62,1.42,44,20,36,0.298,0,683627
543,Seth Johnson,PHI,RP,RP,-12.5,23,1,0,115,26.6,1,2,0,4,27,13,23,13,1,4,4.50,4.94,1.50,42,21,37,0.297,0,686751
544,Tyson Neighbors,BAL,RP,RP,-12.5,16,0,0,69,16.1,1,1,0,2,15,8,16,8,1,2,4.21,4.45,1.42,41,21,38,0.296,0,695695
545,Welinton Herrera,COL,RP,RP,-12.5,18,0,0,76,17.6,1,1,0,2,17,7,17,9,1,2,3.73,4.68,1.47,46,21,32,0.323,0,700327
546,Drew Sommers,DET,RP,RP,-12.5,18,0,0,76,17.6,1,1,0,2,17,7,16,8,1,2,3.74,4.15,1.42,51,21,27,0.309,0,805427
547,Danny Young,ATL,RP,RP,-12.6,15,0,0,58,13.6,1,1,0,3,13,6,14,6,1,1,3.77,4.06,1.40,48,21,31,0.310,0,664849
548,Jhony Brito,SD,RP,RP,-12.6,15,0,0,64,15.1,1,1,0,2,15,7,13,5,1,2,4.09,3.96,1.32,44,20,36,0.287,0,666745
549,Jeff Criswell,COL,RP,RP,-12.6,15,0,0,70,16.3,1,1,0,1,16,8,15,7,1,2,4.12,4.88,1.40,39,21,40,0.309,0,676105
550,Garrett Hawkins,SD,RP,RP,-12.6,23,0,0,103,23.4,1,1,0,2,23,12,21,12,1,3,4.60,4.78,1.48,39,21,39,0.292,0,678184
551,Domingo Gonzalez,SEA,RP,RP,-12.6,18,0,0,76,17.6,1,1,0,2,17,9,16,8,1,2,4.40,4.52,1.41,43,21,36,0.291,0,682445
552,Ken Waldichuk,WSH,RP,RP,-12.6,15,0,0,66,15.3,1,1,0,2,14,7,15,7,1,2,4.17,4.29,1.35,37,20,42,0.278,0,686610
553,Marc Church,TEX,RP,RP,-12.6,31,0,0,136,30.6,1,2,0,6,30,16,27,17,1,4,4.79,5.07,1.55,40,22,39,0.296,0,687847
554,Taylor Rashi,ARI,RP,RP,-12.6,18,0,0,68,15.8,1,1,0,4,16,7,15,7,1,2,4.07,4.32,1.42,45,21,34,0.311,0,688497
555,Carlos Rodriguez,MIL,RP,RP,-12.6,14,1,0,75,17.7,1,1,0,2,18,9,16,7,1,3,4.38,4.78,1.41,36,20,44,0.281,0,692230
556,Jared Shuster,STL,RP,RP,-12.6,29,0,0,128,29.4,1,2,0,6,31,15,20,12,1,4,4.52,4.74,1.45,42,21,37,0.298,0,694363
557,Alex Hoppe,SEA,RP,RP,-12.6,19,0,0,83,19.1,1,1,0,4,19,9,18,9,1,2,4.11,4.25,1.47,51,21,28,0.305,0,695380
558,Jonathan Pintaro,NYM,RP,RP,-12.6,10,1,1,61,14.1,1,1,0,1,14,6,13,6,1,2,4.10,4.22,1.41,47,21,32,0.300,0,702752
559,Luis Peralta,CHC,RP,RP,-12.7,26,0,0,103,23.0,1,1,0,3,22,12,23,15,1,3,4.50,4.88,1.57,40,22,38,0.300,0,678821
560,Jack Neely,CHC,RP,RP,-12.7,16,0,0,69,16.1,1,1,0,2,15,8,16,8,1,2,4.40,4.62,1.43,38,21,40,0.293,0,680891
561,Shane Murphy,CHW,RP,RP,-12.7,16,0,0,67,16.1,1,1,0,2,17,7,11,4,1,2,4.11,4.41,1.30,42,21,37,0.291,0,690294
562,Emiliano Teodo,TEX,RP,RP,-12.7,20,0,0,82,18.4,1,1,0,2,17,9,19,11,1,2,4.31,4.79,1.55,44,22,34,0.303,0,693713
563,Marco Raya,MIN,RP,RP,-12.7,18,0,0,76,17.6,1,1,0,2,17,8,16,8,1,2,4.17,4.42,1.45,47,21,32,0.307,0,694397
564,Samy Natera Jr.,LAA,RP,RP,-12.7,21,0,0,96,21.4,1,1,0,2,20,11,21,13,1,3,4.56,5.03,1.55,38,22,40,0.294,0,696519
565,Tyler Schweitzer,CHW,RP,RP,-12.7,20,2,1,113,26.8,1,2,0,4,30,13,19,10,1,4,4.39,4.97,1.50,44,21,35,0.298,0,805326
566,Austin Gomber,TEX,RP,RP,-12.8,7,1,0,37,9.2,1,2,0,0,10,4,7,2,0,1,4.35,4.86,1.39,37,20,42,0.286,0,16561
567,Pedro Avila,CLE,RP,RP,-12.8,16,1,0,78,18.5,1,1,0,2,19,9,15,7,1,2,4.41,4.52,1.43,44,20,37,0.293,0,658648
568,Alexis Diaz,TEX,RP,RP,-12.8,15,0,0,68,15.3,1,1,0,2,14,8,15,9,1,2,4.66,4.78,1.46,34,20,46,0.276,0,664747
569,Kyle Hurt,LAD,SP,SP,-12.8,36,4,2,252,59.5,3,3,0,6,51,24,65,25,3,7,3.65,3.69,1.28,43,20,37,0.283,0,669165
570,Eric Cerantola,KC,RP,RP,-12.8,15,0,0,67,15.3,1,1,0,2,15,7,15,8,1,2,4.20,4.81,1.48,43,21,36,0.306,0,672021
571,Roddery Munoz,HOU,RP,RP,-12.8,13,0,0,50,12.6,1,1,0,1,12,6,13,6,1,2,4.35,4.42,1.40,39,20,41,0.283,0,682610
572,Alex McFarlane,PHI,RP,RP,-12.8,22,2,1,127,29.6,2,2,0,2,32,15,24,15,1,4,4.68,5.29,1.58,44,21,34,0.301,0,686934
573,Rolddy Munoz,ATL,RP,RP,-12.8,18,0,0,78,17.6,1,1,0,0,18,8,16,9,1,2,4.26,4.64,1.53,49,21,29,0.318,0,691548
574,Jose Corniell,TEX,RP,RP,-12.8,11,0,0,42,10.5,1,1,0,1,10,5,10,4,1,1,4.03,4.20,1.32,41,21,38,0.292,0,692030
575,Josh Ekness,MIA,RP,RP,-12.8,19,0,0,85,19.2,1,1,0,4,19,9,17,10,1,2,4.38,4.71,1.47,44,21,35,0.303,0,694795
576,Brian Fitzpatrick,MIL,RP,RP,-12.8,19,0,0,85,19.4,1,1,0,3,20,9,16,9,1,3,4.32,4.78,1.47,43,21,36,0.300,0,702153
577,Jose Espada,BAL,RP,RP,-12.9,19,0,0,85,19.2,1,1,0,4,19,10,17,10,1,3,4.68,4.89,1.49,38,21,41,0.290,0,664744
