#,Name,Team,ESPN,Y!,$,G,PA,AB,R,HR,RBI,SB,CS,H,1B,2B,3B,TB,SO,BB,HBP,AVG,OBP,SLG,OPS,Own%,RazzID
389,Rafael Marchan,PHI,C,C,-26.6,56,150,134,17,3,15,1,0,30,21,6,0,46,27,12,2,0.225,0.297,0.345,0.642,0,665561
390,James McCann,ARI,C,C,-26.7,57,145,134,15,4,15,1,0,31,21,6,0,48,39,8,2,0.230,0.279,0.358,0.637,0,12859
391,MJ Melendez,NYM,OF,OF,-26.7,57,141,126,16,5,17,3,1,27,16,6,1,49,41,13,1,0.215,0.289,0.391,0.680,3,669004
392,Deyvison De Los Santos,MIA,1B,1B/3B,-26.7,54,143,132,15,5,17,3,1,31,20,5,0,50,36,8,1,0.232,0.280,0.382,0.662,0,691277
393,Johan Rojas,PHI,OF,OF,-26.8,48,131,121,14,2,13,7,2,30,22,5,1,42,28,8,1,0.245,0.295,0.350,0.645,0,679032
394,Drew Millas,WSH,C,C,-26.9,55,138,124,15,2,13,2,1,29,21,6,1,43,25,11,1,0.235,0.299,0.344,0.643,0,686452
395,Dustin Harris,HOU,OF,OF,-26.9,57,140,125,16,3,14,5,1,29,20,6,1,44,33,12,2,0.231,0.304,0.353,0.657,0,687957
396,Bryce Eldridge,SF,DH,1B,-26.9,54,184,164,21,6,21,1,0,38,24,8,0,64,57,17,2,0.230,0.306,0.392,0.698,15,805811
397,Andres Chaparro,WSH,1B,1B,-27.0,52,137,123,16,5,17,1,0,29,18,6,0,50,33,11,1,0.234,0.303,0.406,0.709,0,665953
398,Alex Call,LAD,OF,OF,-27.1,49,149,127,18,3,15,2,1,30,20,6,1,47,28,19,2,0.238,0.341,0.371,0.712,0,669743
399,Andruw Monasterio,BOS,SS,2B/SS/ 3B,-27.2,50,141,125,15,2,14,4,1,31,22,7,0,45,31,14,1,0.247,0.325,0.360,0.685,0,655316
400,Ryan Mountcastle,BAL,1B,1B,-27.3,44,128,118,15,4,15,1,0,30,19,6,0,49,32,8,1,0.252,0.304,0.413,0.717,0,663624
401,Jonah Heim,ATL,C,C,-27.4,50,126,114,14,4,14,1,0,26,18,5,0,42,24,10,1,0.229,0.291,0.365,0.657,0,16930
402,James Outman,MIN,OF,OF,-27.4,57,143,125,17,4,15,4,1,26,15,5,1,45,49,15,2,0.206,0.296,0.363,0.659,0,681546
403,Travis d’Arnaud,LAA,C,C,-27.4,55,139,126,15,4,15,0,0,27,17,6,0,46,38,10,2,0.213,0.276,0.362,0.637,3,7739
404,J.C. Escarra,NYY,C,C,-27.5,50,128,114,14,3,13,1,0,27,18,6,1,43,26,12,1,0.235,0.310,0.373,0.683,0,641555
405,Derek Hill,CHW,OF,OF,-27.5,54,134,122,14,3,14,5,2,28,19,5,1,43,39,9,1,0.228,0.285,0.355,0.640,0,656537
406,Rob Refsnyder,SEA,OF,OF,-27.6,55,137,119,18,4,13,1,0,28,18,5,0,46,37,15,2,0.232,0.320,0.387,0.707,0,13770
407,Mitch Garver,SEA,C,C,-27.6,50,133,114,15,4,14,1,0,24,15,4,1,42,38,16,2,0.205,0.309,0.365,0.674,0,15161
408,Christian Vazquez,HOU,C,C,-27.6,47,132,120,14,3,13,1,0,28,20,5,0,42,26,9,1,0.231,0.287,0.346,0.633,3,9774
409,Eli White,ATL,OF,OF,-27.7,57,139,127,15,4,15,4,1,29,20,5,1,46,36,9,2,0.228,0.286,0.361,0.647,0,642201
410,Brandon Valenzuela,TOR,C,C,-27.7,58,144,129,16,4,14,1,0,27,18,5,0,44,39,12,1,0.208,0.276,0.337,0.612,1,678218
411,Isiah Kiner-Falefa,BOS,2B/SS/ 3B,2B/SS/ 3B,-27.9,56,138,128,15,1,13,4,1,33,25,6,1,44,23,7,2,0.255,0.300,0.341,0.641,0,643396
412,Tristan Gray,MIN,2B/3B,2B/SS/ 3B,-28.0,57,150,137,17,5,17,1,0,30,18,6,1,52,44,10,1,0.218,0.273,0.376,0.649,0,656484
413,Esteury Ruiz,MIA,OF,OF,-28.0,41,95,84,11,2,10,7,2,20,14,4,1,32,23,8,2,0.240,0.313,0.377,0.690,7,665923
414,Taylor Trammell,HOU,OF,OF,-28.0,50,131,113,16,4,14,3,1,24,14,5,1,43,40,15,1,0.211,0.310,0.378,0.688,0,666211
415,Zach Dezenzo,HOU,OF,1B/OF,-28.0,50,135,121,15,4,15,2,1,28,18,6,0,47,39,12,1,0.234,0.303,0.385,0.688,0,701305
416,Brett Harris,ATH,3B,3B,-28.1,57,147,129,17,3,15,2,1,29,20,6,0,46,34,14,2,0.228,0.311,0.354,0.665,0,695391
417,Austin Wynns,ATH,C,C,-28.2,46,129,117,13,3,13,1,0,27,18,5,0,42,34,9,1,0.226,0.285,0.355,0.640,0,642851
418,Rece Hinds,CIN,OF,OF,-28.2,45,116,106,14,5,14,3,1,24,14,5,0,43,39,8,1,0.223,0.280,0.410,0.689,0,677956
419,Miguel Rojas,LAD,2B/SS/ 3B,2B/SS/ 3B,-28.3,49,125,114,14,2,13,2,1,30,21,6,0,43,17,9,1,0.261,0.314,0.380,0.694,0,7802
420,Braxton Fulford,COL,C,C,-28.4,37,99,88,12,3,11,1,0,21,13,4,1,35,27,8,2,0.238,0.309,0.397,0.706,0,690924
421,Myles Straw,TOR,OF,OF,-28.5,57,154,139,16,2,12,5,1,33,25,6,1,44,30,13,1,0.235,0.301,0.319,0.620,0,664702
422,Daniel Susac,SF,C,C,-28.5,45,114,105,12,3,12,1,0,25,17,5,1,38,30,7,1,0.237,0.285,0.365,0.650,0,691740
423,Hao-Yu Lee,DET,3B,3B,-28.6,57,142,128,16,3,14,3,1,29,20,6,1,45,33,11,2,0.229,0.295,0.355,0.650,0,701678
424,Hunter Feduccia,TB,C,C,-28.7,64,163,141,18,3,14,1,0,29,20,6,1,44,46,19,1,0.207,0.304,0.315,0.619,0,676439
425,Sung-Mun Song,SD,3B,3B,-28.7,49,130,118,15,3,13,2,1,29,21,5,0,42,23,10,1,0.244,0.301,0.357,0.657,0,823550
426,Jerar Encarnacion,SF,OF,OF,-28.8,54,135,122,15,4,15,1,0,27,18,5,0,45,42,11,1,0.224,0.290,0.370,0.660,0,666464
427,Abimelec Ortiz,WSH,1B,1B,-28.9,44,124,110,15,4,14,1,0,25,16,5,0,43,30,11,1,0.227,0.301,0.393,0.694,0,694673
428,Tyler Heineman,TOR,C,C,-29.0,55,138,123,15,2,12,2,0,27,20,5,1,38,31,11,3,0.219,0.294,0.312,0.606,0,13897
429,Nelson Velazquez,STL,OF,OF,-29.0,44,127,113,14,5,15,1,0,24,15,4,0,43,36,12,1,0.213,0.288,0.381,0.669,0,676369
430,Ryan Ritter,COL,2B/SS,2B/SS,-29.1,43,117,105,14,3,13,2,0,26,17,5,1,41,30,9,2,0.247,0.314,0.388,0.702,0,690022
431,Austin Hedges,CLE,C,C,-29.3,56,136,122,14,3,13,1,0,25,17,4,0,39,35,11,1,0.202,0.271,0.319,0.591,0,12976
432,Andrew McCutchen,TEX,DH,DH,-29.3,67,177,153,21,5,17,1,0,34,23,7,0,55,45,21,1,0.224,0.320,0.360,0.680,0,9847
433,Joey Wiemer,WSH,OF,OF,-29.4,57,145,129,15,4,15,2,1,27,17,5,1,45,45,13,2,0.206,0.285,0.347,0.633,4,686894
434,Johnathan Rodriguez,BAL,OF,OF,-29.5,45,112,100,13,4,13,1,0,24,16,4,0,40,32,10,1,0.242,0.314,0.400,0.715,0,671286
435,Yohendrick Pinango,TOR,OF,OF,-29.5,58,143,128,16,3,14,1,0,29,19,7,0,46,33,13,1,0.230,0.302,0.358,0.660,0,682818
436,Elias Diaz,KC,C,C,-29.6,42,101,92,12,3,11,0,0,21,14,4,0,34,24,7,1,0.232,0.290,0.367,0.658,0,11680
437,Leo Jimenez,MIA,2B,2B/SS,-29.8,58,143,124,15,3,13,1,0,29,20,6,0,43,30,13,4,0.235,0.323,0.349,0.671,0,677870
438,Santiago Espinal,LAD,3B,2B/SS/ 3B/OF,-29.9,50,122,111,14,2,12,1,0,29,21,6,0,39,17,8,1,0.256,0.310,0.351,0.662,0,669289
439,Luis Matos,FA,OF,OF,-29.9,42,99,91,11,3,12,2,0,22,14,5,0,37,15,6,1,0.244,0.298,0.410,0.708,0,682641
