#,Name,Team,ESPN,Y!,$,G,PA,AB,R,HR,RBI,SB,CS,H,1B,2B,3B,TB,SO,BB,HBP,AVG,OBP,SLG,OPS,Own%,RazzID
515,Vimael Machin,COL,3B,3B,-33.8,27,66,59,8,1,7,1,0,15,11,3,0,23,12,6,0,0.260,0.329,0.388,0.717,0,605353
516,Tre’ Morgan,TB,1B,1B,-33.8,30,76,66,9,2,8,1,0,16,11,3,0,24,17,8,1,0.236,0.320,0.361,0.681,0,691003
517,Blake Dunn,CIN,OF,OF,-33.8,33,78,69,9,1,7,2,1,16,11,3,0,23,22,7,2,0.230,0.311,0.338,0.649,0,694362
518,Jose Azocar,ATL,OF,OF,-33.9,33,74,69,8,1,7,3,1,16,12,3,0,23,16,4,1,0.234,0.281,0.332,0.612,0,640492
519,Justyn-Henry Malloy,TB,OF,OF,-33.9,32,84,71,10,2,8,1,0,15,10,3,0,25,25,11,1,0.216,0.330,0.351,0.681,0,669234
520,Braden Shewmake,HOU,SS,SS,-33.9,33,84,77,9,2,8,2,1,17,11,4,0,26,17,5,1,0.217,0.269,0.338,0.606,0,669699
521,Gustavo Campero,LAA,OF,OF,-33.9,26,63,56,7,2,7,2,1,13,9,3,0,21,13,5,1,0.235,0.310,0.376,0.686,0,672569
522,Jimmy Crooks,STL,C,C,-33.9,21,49,44,6,1,5,0,0,10,7,2,0,16,14,4,1,0.227,0.290,0.364,0.654,0,699625
523,Vidal Brujan,NYM,3B,SS/3B/ OF,-34.0,32,79,71,8,1,7,2,1,16,11,3,0,23,16,7,1,0.226,0.297,0.331,0.628,0,660644
524,Billy Cook,PIT,OF,OF,-34.0,33,75,68,8,2,8,2,1,15,10,3,0,24,21,5,1,0.221,0.282,0.347,0.629,0,695257
525,Chris Taylor,LAA,OF,OF,-34.1,34,89,79,9,2,8,2,0,17,11,4,0,26,29,8,1,0.209,0.291,0.328,0.619,0,13757
526,Akil Baddoo,MIL,OF,OF,-34.1,29,69,60,8,2,7,2,1,13,8,3,0,22,20,8,0,0.214,0.301,0.361,0.662,0,668731
527,Michael Helman,TEX,OF,OF,-34.1,32,79,72,8,2,8,2,1,15,10,3,0,25,20,5,1,0.210,0.268,0.341,0.609,0,680737
528,Junior Perez,ATH,OF,OF,-34.2,30,76,68,8,2,8,2,1,14,8,3,0,24,25,7,1,0.202,0.278,0.348,0.626,0,678577
529,Yohandy Morales,WSH,3B,3B,-34.2,30,77,70,8,2,8,1,0,16,11,3,0,25,23,6,1,0.232,0.294,0.361,0.655,0,691002
530,Jeferson Quero,MIL,C,C,-34.2,21,52,47,6,1,5,0,0,10,7,2,0,16,12,4,1,0.217,0.284,0.347,0.630,0,691620
531,Tom Murphy,FA,C,C,-34.3,17,43,38,5,1,5,1,0,8,6,2,0,14,12,4,0,0.219,0.290,0.363,0.654,0,13499
532,Max Schuemann,NYY,2B/SS/ 3B,2B/SS/ 3B/OF,-34.4,33,78,67,9,1,7,2,1,15,11,3,0,21,18,9,1,0.217,0.313,0.318,0.630,0,680474
533,Brian Navarreto,MIA,C,C,-34.5,21,50,46,5,1,5,1,0,10,7,2,0,15,13,3,1,0.214,0.268,0.334,0.602,0,640459
534,Petey Halpin,CLE,OF,OF,-34.5,33,84,76,9,2,8,2,1,16,11,3,0,25,24,6,1,0.213,0.274,0.329,0.602,0,690984
535,Nacho Alvarez Jr.,ATL,3B,3B,-34.5,31,77,68,8,1,7,1,0,16,11,3,0,23,17,7,1,0.233,0.309,0.336,0.645,0,805373
536,Hayden Senger,NYM,C,C,-34.6,26,60,55,6,1,5,1,0,11,8,2,0,17,19,4,1,0.199,0.253,0.307,0.559,0,663584
537,Nate Eaton,BOS,OF,3B/OF,-34.6,26,62,57,7,1,6,2,1,13,9,3,0,20,16,4,1,0.232,0.287,0.356,0.643,0,681987
538,Nathan Hickey,BOS,C,C,-34.7,21,51,45,6,1,5,0,0,9,6,2,0,15,15,5,0,0.203,0.286,0.338,0.624,0,687208
539,Carson Taylor,SEA,C,C,-34.7,21,52,45,6,1,5,0,0,9,7,2,0,15,14,6,1,0.207,0.297,0.319,0.616,0,694930
540,Eloy Jimenez,FA,DH,OF,-34.8,41,98,89,10,3,11,0,0,22,16,4,0,34,21,8,1,0.248,0.308,0.380,0.688,0,650391
541,Jair Camargo,ATL,C,C,-34.8,21,51,47,5,1,5,0,0,9,6,2,0,15,18,3,1,0.198,0.246,0.323,0.570,0,665856
542,Dom Keegan,TB,C,C,-34.8,21,51,45,5,1,5,0,0,9,6,2,0,15,16,5,1,0.200,0.280,0.327,0.607,0,681371
543,Sterlin Thompson,COL,OF,OF,-34.8,21,52,46,6,1,6,1,0,12,8,2,0,19,12,4,1,0.258,0.330,0.407,0.736,0,694514
544,Ryan Bliss,SEA,2B,2B,-34.9,26,64,58,7,1,6,3,1,12,8,3,0,19,18,5,1,0.207,0.276,0.327,0.603,0,669208
545,Eduardo Valencia,DET,C,C,-34.9,16,39,35,4,1,4,0,0,8,5,1,0,13,10,3,0,0.224,0.288,0.360,0.648,0,680664
546,Mickey Gasper,BOS,C,C,-34.9,15,35,30,4,1,4,0,0,7,5,2,0,11,7,4,1,0.238,0.333,0.371,0.704,0,681508
547,Spencer Jones,NYY,OF,OF,-34.9,21,52,47,6,2,6,2,1,10,6,2,0,19,20,4,0,0.213,0.279,0.394,0.673,1,682987
548,Matthew Lugo,LAA,OF,OF,-34.9,27,66,61,7,2,7,1,0,13,9,3,0,22,20,4,1,0.222,0.276,0.367,0.642,0,683090
549,Connor Joe,SEA,OF,1B/OF,-35.0,32,73,64,8,2,7,1,0,14,9,3,0,22,18,8,1,0.217,0.310,0.346,0.656,0,656582
550,Kyle McCann,COL,C,C,-35.0,15,35,31,4,1,4,0,0,7,4,1,0,12,11,3,0,0.216,0.287,0.367,0.653,0,668832
551,Maverick Handley,BAL,C,C,-35.0,25,57,50,6,1,5,1,0,10,7,2,0,14,16,6,1,0.196,0.284,0.288,0.572,0,668974
552,Mason McCoy,SD,SS,SS,-35.0,31,76,69,8,1,7,2,1,14,10,3,0,22,23,6,1,0.206,0.270,0.318,0.588,0,669200
553,Jacob Stallings,FA,C,C,-35.1,23,58,52,6,1,5,0,0,10,7,2,0,15,16,5,1,0.200,0.279,0.299,0.578,0,13723
554,Rowdy Tellez,ATL,1B,1B,-35.1,21,53,48,6,2,7,0,0,11,7,2,0,19,14,5,0,0.227,0.297,0.408,0.704,0,15679
555,Aramis Garcia,ARI,C,C,-35.1,23,53,48,5,1,5,0,0,9,6,2,0,15,17,4,1,0.190,0.259,0.306,0.565,0,16925
556,Rodolfo Duran,SD,C,C,-35.1,16,39,36,4,1,4,0,0,8,5,2,0,13,10,2,0,0.217,0.271,0.357,0.627,0,660710
557,Josh Rojas,KC,2B/3B,2B/3B,-35.1,26,65,58,7,1,6,1,0,14,10,3,0,20,14,6,0,0.240,0.312,0.349,0.661,0,668942
558,Paul DeJong,FA,3B,2B/SS/ 3B,-35.2,26,66,60,7,2,7,1,0,12,8,2,0,22,20,5,1,0.205,0.267,0.360,0.627,0,657557
559,Grant McCray,SF,OF,OF,-35.2,27,66,59,7,1,6,2,0,13,8,3,0,20,20,6,1,0.213,0.284,0.341,0.625,0,687529
560,Thairo Estrada,FA,2B,2B,-35.3,22,54,50,6,1,6,1,0,12,9,2,0,19,11,3,1,0.243,0.287,0.370,0.657,0,642731
561,Bryan Torres,STL,OF,OF,-35.4,21,51,44,6,1,5,2,1,12,9,2,0,16,9,6,0,0.264,0.349,0.350,0.699,0,663494
562,Nick Madrigal,LAA,3B,3B,-35.4,26,63,57,7,0,6,1,0,15,11,3,0,20,7,4,1,0.258,0.317,0.343,0.660,0,663611
563,Miles Mastrobuoni,SEA,3B/OF,2B/3B/ OF,-35.4,21,49,43,5,1,4,2,0,10,7,2,0,14,10,5,0,0.235,0.317,0.327,0.645,0,670156
564,A.J. Vukovich,ARI,OF,OF,-35.4,21,52,48,6,2,6,0,0,12,8,2,0,19,15,4,0,0.244,0.297,0.400,0.696,0,691021
565,Yanquiel Fernandez,NYY,OF,OF,-35.4,21,51,47,6,2,6,0,0,11,7,2,0,19,11,3,0,0.236,0.283,0.403,0.686,0,692585
566,Alex Verdugo,SD,OF,OF,-35.5,21,55,49,6,1,6,0,0,12,9,3,0,19,9,5,0,0.251,0.316,0.374,0.690,0,657077
567,Endy Rodriguez,PIT,1B,C/1B,-35.5,25,62,55,7,1,6,0,0,13,9,3,0,20,13,6,1,0.235,0.308,0.362,0.670,0,682848
568,Charles McAdoo,TOR,3B,3B,-35.5,21,52,47,6,1,6,2,1,10,7,2,0,17,14,4,0,0.222,0.285,0.366,0.651,0,807727
569,Anthony Rendon,LAA,3B,3B,-35.6,25,60,52,7,1,6,1,0,12,8,2,0,18,11,6,1,0.228,0.318,0.338,0.657,0,12861
570,Matt Thaiss,BOS,C,C,-35.6,15,34,29,4,1,3,0,0,6,4,1,0,10,9,4,0,0.223,0.331,0.340,0.671,0,642136
571,Logan Driscoll,TB,C,C,-35.6,15,34,31,4,1,3,0,0,7,5,2,0,11,9,2,0,0.219,0.281,0.340,0.620,0,686482
572,Denzer Guzman,LAA,SS,SS,-35.6,27,66,60,7,2,6,1,0,13,9,3,0,20,19,5,1,0.216,0.279,0.338,0.616,0,694203
573,Tommy Pham,FA,OF,OF,-35.7,24,54,48,6,1,5,1,0,11,8,2,0,18,13,5,0,0.237,0.313,0.366,0.679,0,2967
574,Shane McGuire,ATH,C,C,-35.7,16,38,33,4,1,3,1,0,7,5,1,0,10,10,4,0,0.209,0.303,0.301,0.604,0,676063
575,Chad Stevens,COL,2B,2B,-35.7,21,50,45,6,1,5,1,0,11,8,2,0,17,14,4,1,0.246,0.306,0.374,0.680,0,677060
576,Jose Herrera,TEX,C,C,-35.8,16,36,31,4,1,3,0,0,7,5,1,0,10,9,4,0,0.210,0.297,0.303,0.600,0,645444
577,Luis Lara,MIL,OF,OF,-35.8,21,52,46,6,1,5,2,1,11,8,2,0,15,10,5,1,0.233,0.315,0.328,0.643,0,800325
578,Jon Berti,FA,3B,3B,-35.9,18,42,38,5,1,4,2,1,10,7,2,0,13,9,3,1,0.251,0.312,0.346,0.659,0,12037
579,Luke Williams,ATL,SS,SS,-35.9,23,53,48,5,1,5,3,1,10,7,2,0,15,16,4,1,0.207,0.268,0.312,0.580,0,663897
580,Tirso Ornelas,SD,OF,OF,-35.9,21,52,47,6,1,6,1,0,11,7,2,0,17,11,5,0,0.237,0.306,0.371,0.677,0,672359
581,Heston Kjerstad,BAL,OF,OF,-35.9,21,49,44,6,2,6,0,0,10,7,2,0,17,13,3,1,0.231,0.295,0.390,0.685,0,677008
582,William Bergolla Jr.,CHW,SS,SS,-35.9,21,52,48,5,0,4,2,1,12,10,2,0,15,5,4,0,0.256,0.309,0.321,0.631,0,703151
583,Luis Urias,ARI,2B,2B/3B,-36.0,21,51,44,6,1,5,0,0,10,7,2,0,16,10,5,1,0.235,0.327,0.364,0.691,0,649966
584,Ben Rortvedt,NYM,C,C,-36.0,15,34,30,4,1,3,0,0,6,4,1,0,9,9,3,0,0.203,0.289,0.307,0.596,0,666163
585,Raynel Delgado,TB,2B,2B,-36.0,21,52,47,5,1,4,2,1,11,8,2,0,15,13,4,1,0.223,0.287,0.310,0.597,0,669384
586,Zack Short,DET,SS,SS,-36.0,33,77,66,8,2,7,1,0,12,8,3,0,20,22,9,1,0.187,0.290,0.297,0.587,0,670097
587,Tommy Troy,ARI,2B,2B,-36.0,21,52,47,6,1,5,1,0,11,8,2,0,17,12,4,1,0.243,0.312,0.356,0.668,0,694371
588,Oscar Mercado,PHI,OF,OF,-36.1,21,50,44,5,1,5,2,1,9,6,2,0,15,11,4,1,0.209,0.286,0.328,0.614,0,640458
589,Seby Zavala,LAD,C,C,-36.1,15,33,29,3,1,3,0,0,5,3,1,0,9,12,3,0,0.181,0.259,0.314,0.572,0,664874
590,Will Banfield,CIN,C,C,-36.1,15,34,32,3,1,3,0,0,7,4,1,0,10,10,2,0,0.206,0.251,0.317,0.568,0,677943
591,Jacob Berry,MIA,3B,3B,-36.1,21,52,47,5,1,5,2,1,11,7,2,0,16,11,4,1,0.226,0.292,0.335,0.627,0,694351
592,Dylan O’Rae,MIL,2B,2B,-36.1,21,52,45,5,0,4,3,1,10,7,2,0,13,13,6,1,0.218,0.313,0.295,0.609,0,802506
593,Max Kepler,FA,OF,OF,-36.2,18,45,40,5,1,5,0,0,9,6,2,0,16,9,4,1,0.235,0.315,0.391,0.707,0,12144
594,Garrett Hampson,CIN,OF,2B/SS/ OF,-36.2,27,65,58,6,1,5,2,1,13,9,3,0,17,18,6,1,0.216,0.286,0.296,0.582,0,641658
595,Victor Bericoto,SF,OF,OF,-36.2,21,52,48,6,1,5,0,0,11,8,2,0,17,13,3,0,0.235,0.285,0.362,0.647,0,682674
596,Edwin Arroyo,CIN,SS,SS,-36.2,21,52,48,6,1,5,1,0,12,8,2,0,17,11,3,1,0.243,0.297,0.352,0.649,0,695490
597,Rainiel Rodriguez,STL,C,C,-36.2,11,27,24,3,1,3,0,0,5,3,1,0,8,7,2,0,0.201,0.280,0.323,0.603,0,823787
598,Carlos Perez,HOU,1B,1B,-36.3,21,50,45,6,2,6,0,0,10,6,2,0,17,11,4,1,0.212,0.281,0.376,0.657,0,10642
599,Austin Barnes,FA,C,C,-36.3,11,25,22,3,0,2,0,0,5,4,1,0,7,6,2,0,0.214,0.287,0.311,0.598,0,12158
600,Wilmer Flores,FA,1B,1B,-36.3,18,43,38,5,1,5,0,0,9,6,2,0,15,8,4,1,0.234,0.308,0.391,0.700,0,5827
601,Luis Vazquez,BAL,3B,3B,-36.3,21,51,47,6,1,5,1,0,11,7,2,0,16,13,3,1,0.228,0.286,0.350,0.636,0,676679
602,Nick Sogard,BOS,1B,1B/2B/ 3B,-36.3,21,52,45,6,1,5,1,0,11,8,2,0,15,12,6,0,0.238,0.328,0.335,0.663,0,686765
603,Jace Jung,DET,3B,3B,-36.3,26,59,51,7,1,6,0,0,11,7,3,0,17,16,7,0,0.213,0.313,0.344,0.656,0,690291
604,Rafael Flores Jr.,PIT,1B,1B,-36.3,21,51,46,6,1,5,0,0,11,7,2,0,17,14,4,0,0.231,0.299,0.361,0.660,0,804668
605,Donovan Walton,LAA,2B,2B,-36.4,21,51,45,6,1,5,0,0,10,7,2,0,16,9,4,1,0.229,0.302,0.343,0.645,0,622268
606,Brendan Rodgers,BOS,2B,2B,-36.4,20,50,45,5,1,5,0,0,11,7,2,0,16,13,4,1,0.237,0.299,0.362,0.661,0,663898
607,Will Wilson,SEA,2B,2B/3B,-36.4,28,68,62,7,2,6,1,0,12,8,2,0,19,19,5,1,0.197,0.260,0.313,0.573,0,669717
608,Dairon Blanco,TEX,OF,OF,-36.4,14,32,29,4,1,3,2,1,7,5,1,0,10,8,2,1,0.233,0.293,0.351,0.644,0,680118
609,Christian Franklin,WSH,OF,OF,-36.4,21,52,45,6,1,5,1,0,10,7,2,0,15,14,6,1,0.223,0.317,0.327,0.644,0,681047
610,Maximo Acosta,MIA,3B,2B/SS/ 3B,-36.4,18,42,38,5,1,4,2,1,9,6,2,0,13,11,3,0,0.225,0.286,0.344,0.630,0,691185
611,Allan Castro,BOS,OF,OF,-36.4,21,52,47,6,1,5,1,0,10,7,2,0,16,13,5,0,0.221,0.292,0.344,0.636,0,691369
612,Marco Dinges,MIL,C,C,-36.4,11,26,23,3,1,2,0,0,5,3,1,0,7,7,3,0,0.197,0.282,0.316,0.597,0,701392
613,Dakota Harris,STL,SS,SS,-36.4,21,51,47,5,1,5,1,0,11,8,2,0,15,11,3,1,0.227,0.276,0.326,0.602,0,703766
614,Mark Canha,FA,OF,OF,-36.5,20,49,43,5,1,5,1,0,10,7,2,0,15,10,5,1,0.236,0.322,0.351,0.672,0,11445
615,CJ Alexander,HOU,3B,3B,-36.5,21,51,47,6,2,6,0,0,10,6,2,0,17,16,3,0,0.209,0.264,0.362,0.626,0,680769
616,Peyton Wilson,KC,2B,2B,-36.5,21,52,46,5,1,5,1,0,11,7,2,0,15,14,5,1,0.225,0.298,0.328,0.627,0,686523
617,Gavin Cross,KC,OF,OF,-36.5,21,51,47,5,1,5,1,0,10,6,2,0,16,15,3,1,0.208,0.263,0.333,0.596,0,688457
618,Cooper Ingle,CLE,C,C,-36.5,8,17,14,2,0,2,0,0,3,2,1,0,5,4,2,0,0.234,0.348,0.367,0.715,0,694876
619,Hector Rodriguez,CIN,OF,OF,-36.5,16,38,35,4,1,4,1,0,9,6,2,0,14,7,2,0,0.247,0.296,0.396,0.692,0,699302
620,Josue Briceno,DET,C,C,-36.5,8,18,16,2,1,2,0,0,4,2,1,0,6,4,2,0,0.225,0.311,0.367,0.678,0,800522
621,Mike Boeve,MIL,3B,3B,-36.5,21,52,46,6,1,5,1,0,10,7,2,0,16,14,5,1,0.224,0.298,0.336,0.634,0,801670
622,Cooper Pratt,MIL,SS,SS,-36.5,21,52,46,5,1,5,2,1,10,7,2,0,14,10,5,1,0.218,0.300,0.314,0.615,0,806198
623,Jose Iglesias,FA,2B/SS/3B,2B/SS/3B,-36.6,18,45,41,5,1,4,1,0,11,8,2,0,15,8,3,1,0.255,0.305,0.350,0.656,0,10231
624,Justin Turner,FA,1B,1B,-36.6,18,44,39,5,1,5,0,0,10,7,2,0,14,9,4,1,0.244,0.324,0.367,0.691,0,5235
625,Dasan Brown,MIL,OF,OF,-36.6,21,51,45,5,1,4,2,1,9,6,2,0,14,15,5,1,0.198,0.276,0.298,0.574,0,672018
626,Jesus Valdez,ARI,SS,SS,-36.6,23,56,52,6,1,5,1,0,11,8,2,0,17,16,3,1,0.217,0.265,0.331,0.595,0,678232
627,Ben Gamel,ATL,OF,OF,-36.7,21,51,44,6,1,5,1,0,9,6,2,0,15,16,6,0,0.213,0.305,0.340,0.646,0,12160
628,Ali Sanchez,NYY,C,C,-36.7,8,17,15,2,0,2,0,0,3,2,1,0,5,4,1,0,0.223,0.284,0.337,0.620,0,645305
629,Rene Pinto,PHI,C,C,-36.7,8,17,16,2,1,2,0,0,3,2,1,0,6,6,1,0,0.204,0.252,0.357,0.610,0,650907
630,P.J. Higgins,CIN,1B,1B,-36.7,26,59,54,6,1,5,0,0,12,8,2,0,17,15,4,1,0.221,0.281,0.323,0.604,0,664731
631,Matt Mervis,FA,1B,1B,-36.7,18,44,39,5,2,5,0,0,8,5,2,0,15,14,4,1,0.206,0.280,0.377,0.657,0,670223
632,Ramon Mendoza,STL,2B,2B,-36.7,21,52,46,6,1,5,0,0,11,7,2,0,16,12,5,1,0.227,0.303,0.335,0.638,0,680636
633,Willie MacIver,TOR,C,C,-36.7,8,17,15,2,0,2,0,0,3,2,1,0,5,5,1,0,0.216,0.286,0.340,0.626,0,680862
634,Luca Tresh,KC,C,C,-36.7,8,17,16,2,0,2,0,0,4,2,1,0,6,4,1,0,0.223,0.281,0.360,0.642,0,681123
635,Paul McIntosh,PHI,C,C,-36.7,8,17,15,2,0,2,0,0,3,2,1,0,5,4,2,0,0.210,0.289,0.337,0.626,0,682192
636,Kenedy Corona,NYY,OF,OF,-36.7,21,51,46,5,1,5,1,0,9,6,2,0,14,14,4,1,0.203,0.272,0.314,0.586,0,685744
637,Collin Price,HOU,C,C,-36.7,8,19,17,2,1,2,0,0,3,2,1,0,6,6,2,0,0.192,0.266,0.327,0.593,0,805672
638,Scott Kingery,CHC,2B,2B,-36.8,23,54,50,5,1,5,1,0,10,7,2,0,16,16,4,0,0.206,0.260,0.322,0.582,0,664068
639,Blake Sabol,TB,C,C/OF,-36.8,8,17,15,2,0,2,0,0,3,2,1,0,5,6,2,0,0.200,0.277,0.324,0.601,0,666165
640,Rafael Lantigua,TOR,2B,2B,-36.8,21,52,45,6,1,4,1,0,10,7,2,0,14,11,6,0,0.222,0.312,0.315,0.627,0,672463
641,Eliezer Alfonzo,LAD,C,C,-36.8,8,17,16,2,0,2,0,0,4,3,1,0,5,2,1,0,0.233,0.288,0.333,0.621,0,672613
642,Anthony Seigler,BOS,3B,3B,-36.8,18,42,36,5,1,4,1,0,8,5,2,0,12,10,5,0,0.219,0.321,0.342,0.663,0,678011
643,Jhonkensy Noel,BAL,OF,1B/OF,-36.8,15,35,32,4,2,5,0,0,7,4,1,0,13,10,2,0,0.220,0.274,0.412,0.687,0,678877
644,Gabriel Rincones Jr.,PHI,OF,OF,-36.8,16,38,33,4,1,4,1,0,7,5,2,0,12,10,4,0,0.215,0.303,0.364,0.667,0,687282
645,Jake Holton,SF,1B,1B,-36.8,21,52,46,6,1,5,0,0,10,7,2,0,16,14,5,1,0.214,0.297,0.337,0.634,0,687724
646,Andrew Pintar,MIA,OF,OF,-36.8,21,51,46,5,1,4,2,0,10,7,2,0,14,15,4,0,0.215,0.278,0.308,0.587,0,801464
647,Tomas Nido,DET,C,C,-36.9,8,16,15,2,0,2,0,0,3,2,1,0,5,4,1,0,0.220,0.263,0.317,0.580,0,621512
648,Jack Suwinski,LAD,OF,OF,-36.9,14,34,29,4,1,4,1,0,6,4,1,0,12,11,4,0,0.212,0.308,0.403,0.711,0,669261
649,Jonatan Clase,TOR,OF,OF,-36.9,15,35,31,4,1,3,2,1,7,5,2,0,11,10,3,0,0.219,0.290,0.344,0.635,0,682729
650,Rhylan Thomas,FA,OF,OF,-36.9,15,35,32,4,0,3,1,0,9,7,1,0,11,4,2,0,0.266,0.316,0.353,0.669,0,689041
651,Blaze Jordan,STL,3B,3B,-36.9,15,36,33,4,1,4,0,0,8,6,2,0,13,5,2,0,0.248,0.294,0.390,0.684,0,691458
652,Jason Delay,BOS,C,C,-37.0,8,17,15,2,0,1,0,0,3,2,1,0,5,4,1,0,0.212,0.276,0.296,0.572,0,641511
653,Chuckie Robinson,LAD,C,C,-37.0,8,17,16,2,0,2,0,0,3,2,1,0,5,5,1,0,0.212,0.262,0.315,0.577,0,642020
654,Samad Taylor,SD,OF,OF,-37.0,15,34,30,4,1,3,1,0,7,5,1,0,11,8,3,0,0.235,0.308,0.354,0.662,0,669392
655,Michael Siani,LAD,OF,OF,-37.0,21,50,45,5,1,4,2,1,9,6,2,0,13,14,5,0,0.199,0.274,0.290,0.564,0,672279
656,Wander Franco,TB,DH,SS,-37.0,20,48,43,6,1,6,2,1,12,7,3,0,19,7,4,0,0.270,0.338,0.441,0.779,0,677551
657,Christian Cairo,PHI,2B,2B,-37.0,21,51,44,5,0,4,2,1,9,7,2,0,13,13,5,1,0.210,0.300,0.288,0.588,0,686551
658,Max Anderson,DET,2B,2B,-37.0,16,38,35,4,1,4,0,0,9,6,2,0,13,7,2,0,0.251,0.295,0.374,0.669,0,801194
659,Kristian Robinson,ARI,OF,OF,-37.1,16,38,33,4,1,4,1,0,7,5,1,0,12,12,4,0,0.218,0.305,0.350,0.654,0,677565
660,Kahlil Watson,CLE,SS,SS,-37.1,16,38,34,4,1,4,1,0,7,4,1,0,12,12,4,0,0.206,0.287,0.352,0.639,0,696135
661,DJ LeMahieu,FA,2B,2B,-37.1,17,40,35,5,1,4,0,0,9,7,1,0,12,8,4,0,0.245,0.324,0.348,0.672,0,9874
662,Jorge Alfaro,KC,C,C,-37.2,4,9,8,1,0,1,0,0,2,1,0,0,3,3,0,0,0.220,0.262,0.343,0.605,0,12180
663,Manuel Margot,FA,OF,OF,-37.2,18,43,39,4,1,4,1,0,9,7,2,0,13,8,3,1,0.238,0.295,0.332,0.627,0,14712
664,Brian Serven,ATH,C,C,-37.2,8,17,15,2,0,1,0,0,3,2,1,0,4,5,1,0,0.187,0.263,0.285,0.548,0,661531
665,Victor Mesa Jr.,TB,OF,OF,-37.2,15,35,32,4,1,4,1,0,7,5,2,0,12,8,3,0,0.234,0.295,0.374,0.669,0,683748
666,Nathan Martorella,MIA,1B,1B,-37.2,21,51,46,5,1,5,1,0,9,6,2,0,15,12,5,0,0.197,0.273,0.319,0.592,0,687210
667,Pedro Leon,PHI,OF,OF,-37.2,15,35,31,4,1,4,1,0,7,4,1,0,11,11,3,1,0.211,0.279,0.352,0.631,0,694175
668,Kemp Alderman,MIA,OF,OF,-37.2,15,35,32,4,1,4,1,0,7,5,1,0,12,10,2,0,0.231,0.282,0.369,0.651,0,694580
669,Ethan Salas,SD,C,C,-37.2,4,9,8,1,0,1,0,0,2,1,0,0,3,2,1,0,0.214,0.281,0.338,0.620,0,806956
670,Leo De Vries,ATH,SS,SS,-37.2,16,38,34,4,1,4,1,0,8,5,2,0,12,10,3,0,0.224,0.298,0.360,0.658,0,815888
671,Logan Davidson,TB,1B,1B,-37.3,21,52,46,5,1,5,1,0,9,6,2,0,15,18,5,1,0.196,0.274,0.314,0.589,0,669722
672,Matthew Wood,MIL,C,C,-37.3,4,9,8,1,0,1,0,0,2,1,0,0,3,2,1,0,0.215,0.312,0.323,0.635,0,687783
673,Matt Koperniak,STL,OF,OF,-37.3,16,38,35,4,1,4,0,0,8,6,1,0,12,8,3,0,0.234,0.291,0.348,0.639,0,689288
674,Leo Bernal,STL,C,C,-37.3,4,9,8,1,0,1,0,0,2,1,0,0,3,2,1,0,0.219,0.288,0.331,0.618,0,699024
675,Dom Nunez,CLE,C,C,-37.4,8,18,16,2,0,1,0,0,3,2,1,0,4,6,2,0,0.164,0.265,0.266,0.532,0,15055
676,Trey Cabbage,FA,OF,OF,-37.4,13,30,27,3,1,3,1,0,6,4,1,0,11,10,2,0,0.228,0.281,0.383,0.664,0,663550
677,Dominic Fletcher,PIT,OF,OF,-37.4,16,37,34,4,1,4,0,0,8,5,2,0,12,8,2,0,0.236,0.291,0.360,0.651,0,666150
678,Blake Hunt,SD,C,C,-37.4,4,9,8,1,0,1,0,0,2,1,0,0,3,2,1,0,0.207,0.271,0.334,0.605,0,675448
679,Kevin Alcantara,CHC,OF,OF,-37.4,15,34,31,4,1,4,1,0,7,4,1,0,11,11,3,0,0.222,0.284,0.370,0.654,0,682634
680,Nick Raposo,SEA,C,C,-37.4,4,9,8,1,0,1,0,0,2,1,0,0,2,2,1,0,0.203,0.267,0.300,0.567,0,695596
681,Thayron Liranzo,DET,C,C,-37.4,4,9,8,1,0,1,0,0,2,1,0,0,3,3,1,0,0.199,0.282,0.321,0.603,0,699073
682,Caleb Lomavita,WSH,C,C,-37.4,4,9,8,1,0,1,0,0,2,1,0,0,3,2,1,0,0.224,0.274,0.327,0.601,0,701616
683,Stuart Fairchild,CLE,OF,OF,-37.5,14,32,28,4,1,3,1,0,6,4,1,0,10,9,3,1,0.223,0.301,0.360,0.661,0,656413
684,Kameron Misner,KC,OF,OF,-37.5,15,35,31,4,1,3,1,0,6,4,2,0,11,11,4,0,0.210,0.299,0.349,0.648,0,670224
685,Sandy Leon,ATL,C,C,-37.6,4,9,8,1,0,1,0,0,1,1,0,0,2,3,1,0,0.165,0.246,0.258,0.504,0,506702
686,Rudy Martin,KC,OF,OF,-37.6,11,26,23,3,1,3,2,0,5,4,1,0,8,7,2,0,0.229,0.306,0.344,0.651,0,657675
687,Braiden Ward,BOS,OF,OF,-37.6,11,26,23,3,0,2,2,0,5,4,1,0,8,6,2,1,0.238,0.319,0.338,0.658,0,685274
688,Eric Brown Jr.,MIL,SS,SS,-37.6,21,51,46,5,1,4,1,0,9,6,2,0,13,12,4,1,0.196,0.264,0.284,0.548,0,687521
689,Brett Wisely,ATL,2B,2B,-37.6,15,34,31,4,1,3,1,0,7,5,2,0,11,8,3,0,0.229,0.294,0.344,0.638,0,689172
690,Ryan Clifford,NYM,1B,1B,-37.6,15,35,30,4,1,4,0,0,6,4,1,0,11,12,4,0,0.200,0.292,0.354,0.646,0,691775
691,Adam Duvall,FA,OF,OF,-37.7,13,31,28,3,1,4,0,0,6,4,1,0,11,9,2,0,0.209,0.273,0.378,0.651,0,10950
