NAME
Nolan McLean
Nathan Eovaldi
Max Meyer
Justin Wrobleski
Drew Rasmussen
Daniel Palencia
Cade Smith
Riley O'Brien
Yoshinobu Yamamoto
Jacob Misiorowski
Will Warren
Robbie Ray
Cole Ragans
